model,seed,mode,episode,reward
lunarlander_ppo_improved,1,stochastic,10,188.7514
lunarlander_ppo_improved,1,stochastic,11,-65.5746
lunarlander_ppo_improved,1,stochastic,12,-130.5208
lunarlander_ppo_improved,1,stochastic,13,153.2929
lunarlander_ppo_improved,1,stochastic,14,158.4772
lunarlander_ppo_improved,1,stochastic,15,-10.908
lunarlander_ppo_improved,1,stochastic,16,-31.675
lunarlander_ppo_improved,1,stochastic,17,-62.0527
lunarlander_ppo_improved,1,stochastic,18,116.8154
lunarlander_ppo_improved,1,stochastic,19,94.9347
lunarlander_ppo_improved,1,stochastic,20,100.5609
lunarlander_ppo_improved,2,greedy,1,206.8344
lunarlander_ppo_improved,2,greedy,2,121.3941
lunarlander_ppo_improved,2,greedy,3,-17.0687
lunarlander_ppo_improved,2,greedy,4,-55.2797
lunarlander_ppo_improved,2,greedy,5,4.1246
lunarlander_ppo_improved,2,greedy,6,-63.9852
lunarlander_ppo_improved,2,greedy,7,1.4679
lunarlander_ppo_improved,2,greedy,8,236.2135
lunarlander_ppo_improved,2,greedy,9,270.0538
lunarlander_ppo_improved,2,greedy,10,262.2015
lunarlander_ppo_improved,2,greedy,11,232.6465
lunarlander_ppo_improved,2,greedy,12,225.3208
lunarlander_ppo_improved,2,greedy,13,260.9501
lunarlander_ppo_improved,2,greedy,14,-6.3074
lunarlander_ppo_improved,2,greedy,15,286.7414
lunarlander_ppo_improved,2,greedy,16,207.4467
lunarlander_ppo_improved,2,greedy,17,188.8065
lunarlander_ppo_improved,2,greedy,18,6.728
lunarlander_ppo_improved,2,greedy,19,213.3625
lunarlander_ppo_improved,2,greedy,20,-24.0049
lunarlander_ppo_improved,2,stochastic,1,267.1413
lunarlander_ppo_improved,2,stochastic,2,108.3064
lunarlander_ppo_improved,2,stochastic,3,270.4743
lunarlander_ppo_improved,2,stochastic,4,247.6327
lunarlander_ppo_improved,2,stochastic,5,251.2132
lunarlander_ppo_improved,2,stochastic,6,12.7732
lunarlander_ppo_improved,2,stochastic,7,276.4721
lunarlander_ppo_improved,2,stochastic,8,29.2664
lunarlander_ppo_improved,2,stochastic,9,33.4381
lunarlander_ppo_improved,2,stochastic,10,277.4744
lunarlander_ppo_improved,2,stochastic,11,234.0376
lunarlander_ppo_improved,2,stochastic,12,252.3738
lunarlander_ppo_improved,2,stochastic,13,251.6541
lunarlander_ppo_improved,2,stochastic,14,-15.4642
lunarlander_ppo_improved,2,stochastic,15,-1.2926
lunarlander_ppo_improved,2,stochastic,16,267.5056
lunarlander_ppo_improved,2,stochastic,17,-40.91
lunarlander_ppo_improved,2,stochastic,18,250.8376
lunarlander_ppo_improved,2,stochastic,19,231.6404
lunarlander_ppo_improved,2,stochastic,20,-17.8642
mountaincar_dqn_baseline_shaped,0,greedy,1,-159.1284
mountaincar_dqn_baseline_shaped,0,greedy,2,-159.2024
mountaincar_dqn_baseline_shaped,0,greedy,3,-163.7448
mountaincar_dqn_baseline_shaped,0,greedy,4,-157.7974
mountaincar_dqn_baseline_shaped,0,greedy,5,-165.2828
mountaincar_dqn_baseline_shaped,0,greedy,6,-149.1083
mountaincar_dqn_baseline_shaped,0,greedy,7,-157.3654
mountaincar_dqn_baseline_shaped,0,greedy,8,-157.6397
mountaincar_dqn_baseline_shaped,0,greedy,9,-165.2969
mountaincar_dqn_baseline_shaped,0,greedy,10,-138.7508
mountaincar_dqn_baseline_shaped,0,greedy,11,-163.6423
mountaincar_dqn_baseline_shaped,0,greedy,12,-138.9262
mountaincar_dqn_baseline_shaped,0,greedy,13,-160.8569
mountaincar_dqn_baseline_shaped,0,greedy,14,-147.0606
mountaincar_dqn_baseline_shaped,0,greedy,15,-149.1399
mountaincar_dqn_baseline_shaped,0,greedy,16,-138.7809
mountaincar_dqn_baseline_shaped,0,greedy,17,-165.2529
mountaincar_dqn_baseline_shaped,0,greedy,18,-139.405
mountaincar_dqn_baseline_shaped,0,greedy,19,-166.163
mountaincar_dqn_baseline_shaped,0,greedy,20,-142.1317
mountaincar_dqn_baseline_shaped,1,greedy,1,330.0758
mountaincar_dqn_baseline_shaped,1,greedy,2,-25.3527
mountaincar_dqn_baseline_shaped,1,greedy,3,77.5873
mountaincar_dqn_baseline_shaped,1,greedy,4,26.7541
mountaincar_dqn_baseline_shaped,1,greedy,5,-1.3873
mountaincar_dqn_baseline_shaped,1,greedy,6,26.7863
mountaincar_dqn_baseline_shaped,1,greedy,7,22.9484
mountaincar_dqn_baseline_shaped,1,greedy,8,39.2804
mountaincar_dqn_baseline_shaped,1,greedy,9,20.5916
mountaincar_dqn_baseline_shaped,1,greedy,10,120.0449
mountaincar_dqn_baseline_shaped,1,greedy,11,-11.171
mountaincar_dqn_baseline_shaped,1,greedy,12,-35.8147
mountaincar_dqn_baseline_shaped,1,greedy,13,41.2066
mountaincar_dqn_baseline_shaped,1,greedy,14,36.9037
mountaincar_dqn_baseline_shaped,1,greedy,15,31.1345
mountaincar_dqn_baseline_shaped,1,greedy,16,250.5527
mountaincar_dqn_baseline_shaped,1,greedy,17,47.9241
mountaincar_dqn_baseline_shaped,1,greedy,18,180.5347
mountaincar_dqn_baseline_shaped,1,greedy,19,-33.2135
mountaincar_dqn_baseline_shaped,1,greedy,20,-34.8358
mountaincar_dqn_baseline_shaped,2,greedy,1,46.786
mountaincar_dqn_baseline_shaped,2,greedy,2,37.6127
mountaincar_dqn_baseline_shaped,2,greedy,3,42.1195
mountaincar_dqn_baseline_shaped,2,greedy,4,62.1972
mountaincar_dqn_baseline_shaped,2,greedy,5,70.7897
mountaincar_dqn_baseline_shaped,2,greedy,6,50.9824
mountaincar_dqn_baseline_shaped,2,greedy,7,32.9181
mountaincar_dqn_baseline_shaped,2,greedy,8,35.9108
mountaincar_dqn_baseline_shaped,2,greedy,9,31.8019
mountaincar_dqn_baseline_shaped,2,greedy,10,46.3346
mountaincar_dqn_baseline_shaped,2,greedy,11,61.5847
mountaincar_dqn_baseline_shaped,2,greedy,12,72.4902
mountaincar_dqn_baseline_shaped,2,greedy,13,33.6264
mountaincar_dqn_baseline_shaped,2,greedy,14,-162.7636
mountaincar_dqn_baseline_shaped,2,greedy,15,63.9017
mountaincar_dqn_baseline_shaped,2,greedy,16,40.7021
mountaincar_dqn_baseline_shaped,2,greedy,17,30.1901
mountaincar_dqn_baseline_shaped,2,greedy,18,37.6888
mountaincar_dqn_baseline_shaped,2,greedy,19,37.3767
mountaincar_dqn_baseline_shaped,2,greedy,20,34.833
mountaincar_dqn_per_shaped,0,greedy,1,-200.0
mountaincar_dqn_per_shaped,0,greedy,2,-200.0
mountaincar_dqn_per_shaped,0,greedy,3,29.7426
mountaincar_dqn_per_shaped,0,greedy,4,-200.0
mountaincar_dqn_per_shaped,0,greedy,5,40.1815
mountaincar_dqn_per_shaped,0,greedy,6,-200.0
mountaincar_dqn_per_shaped,0,greedy,7,-200.0
mountaincar_dqn_per_shaped,0,greedy,8,-200.0
mountaincar_dqn_per_shaped,0,greedy,9,12.6231
mountaincar_dqn_per_shaped,0,greedy,10,-200.0
mountaincar_dqn_per_shaped,0,greedy,11,10.2324
mountaincar_dqn_per_shaped,0,greedy,12,-200.0
mountaincar_dqn_per_shaped,0,greedy,13,10.7052
mountaincar_dqn_per_shaped,0,greedy,14,-200.0
mountaincar_dqn_per_shaped,0,greedy,15,-200.0
mountaincar_dqn_per_shaped,0,greedy,16,-200.0
mountaincar_dqn_per_shaped,0,greedy,17,15.8646
mountaincar_dqn_per_shaped,0,greedy,18,-200.0
mountaincar_dqn_per_shaped,0,greedy,19,12.8686
mountaincar_dqn_per_shaped,0,greedy,20,-200.0
mountaincar_dqn_per_shaped,1,greedy,1,64.1628
mountaincar_dqn_per_shaped,1,greedy,2,71.4335
mountaincar_dqn_per_shaped,1,greedy,3,78.4258
mountaincar_dqn_per_shaped,1,greedy,4,40.7817
mountaincar_dqn_per_shaped,1,greedy,5,72.1859
mountaincar_dqn_per_shaped,1,greedy,6,40.8284
mountaincar_dqn_per_shaped,1,greedy,7,45.2125
mountaincar_dqn_per_shaped,1,greedy,8,44.8915
mountaincar_dqn_per_shaped,1,greedy,9,52.9953
mountaincar_dqn_per_shaped,1,greedy,10,77.1854
mountaincar_dqn_per_shaped,1,greedy,11,50.4683
mountaincar_dqn_per_shaped,1,greedy,12,51.4304
mountaincar_dqn_per_shaped,1,greedy,13,68.9052
mountaincar_dqn_per_shaped,1,greedy,14,36.1885
mountaincar_dqn_per_shaped,1,greedy,15,46.2157
mountaincar_dqn_per_shaped,1,greedy,16,13.3315
mountaincar_dqn_per_shaped,1,greedy,17,36.8281
mountaincar_dqn_per_shaped,1,greedy,18,7.8834
mountaincar_dqn_per_shaped,1,greedy,19,50.4883
mountaincar_dqn_per_shaped,1,greedy,20,49.2418
mountaincar_dqn_per_shaped,2,greedy,1,46.6294
mountaincar_dqn_per_shaped,2,greedy,2,49.0782
mountaincar_dqn_per_shaped,2,greedy,3,29.4964
mountaincar_dqn_per_shaped,2,greedy,4,51.6068
mountaincar_dqn_per_shaped,2,greedy,5,51.2714
mountaincar_dqn_per_shaped,2,greedy,6,60.2441
mountaincar_dqn_per_shaped,2,greedy,7,34.3586
mountaincar_dqn_per_shaped,2,greedy,8,40.9943
mountaincar_dqn_per_shaped,2,greedy,9,36.7167
mountaincar_dqn_per_shaped,2,greedy,10,45.2287
mountaincar_dqn_per_shaped,2,greedy,11,51.8168
mountaincar_dqn_per_shaped,2,greedy,12,48.3859
mountaincar_dqn_per_shaped,2,greedy,13,32.8036
mountaincar_dqn_per_shaped,2,greedy,14,48.5087
mountaincar_dqn_per_shaped,2,greedy,15,55.8045
mountaincar_dqn_per_shaped,2,greedy,16,34.5814
mountaincar_dqn_per_shaped,2,greedy,17,37.8511
mountaincar_dqn_per_shaped,2,greedy,18,42.3068
mountaincar_dqn_per_shaped,2,greedy,19,40.0309
mountaincar_dqn_per_shaped,2,greedy,20,40.9651
mountaincar_ddqn_per_shaped,0,greedy,1,46.3487
mountaincar_ddqn_per_shaped,0,greedy,2,232.9991
mountaincar_ddqn_per_shaped,0,greedy,3,235.9877
mountaincar_ddqn_per_shaped,0,greedy,4,75.4525
mountaincar_ddqn_per_shaped,0,greedy,5,259.211
mountaincar_ddqn_per_shaped,0,greedy,6,26.7444
mountaincar_ddqn_per_shaped,0,greedy,7,233.7627
mountaincar_ddqn_per_shaped,0,greedy,8,45.5081
mountaincar_ddqn_per_shaped,0,greedy,9,55.583
mountaincar_ddqn_per_shaped,0,greedy,10,-200.0
mountaincar_ddqn_per_shaped,0,greedy,11,215.7783
